year,type,value
2015,revenue_men,9093574276.0
2016,revenue_men,9601471191.0
2017,revenue_men,10230203206.0
2018,revenue_men,10662663744.0
2019,revenue_men,10461556147.0
2015,expenditure_men,7344281868.0
2016,expenditure_men,7789185715.0
2017,expenditure_men,8335195610.0
2018,expenditure_men,8824107895.0
2019,expenditure_men,8685728359.0
